Term	Grantham_Val	Annotation	Haploblock
GO:0010187	60	negative regulation of seed germination	ANN_15_01
GO:0010200	1314	response to chitin	ANN_15_01
GO:0010205	121	photoinhibition	ANN_15_01
GO:0010207	649	photosystem II assembly	ANN_15_01
GO:0010215	509	cellulose microfibril organization	ANN_15_01
GO:0010223	65	secondary shoot formation	ANN_15_01
GO:0010227	180	floral organ abscission	ANN_15_01
GO:0010228	685	vegetative to reproductive phase transition of meristem	ANN_15_01
GO:0010246	215	rhamnogalacturonan I biosynthetic process	ANN_15_01
GO:0010289	99	homogalacturonan biosynthetic process	ANN_15_01
GO:0010305	419	leaf vascular tissue pattern formation	ANN_15_01
GO:0010311	448	lateral root formation	ANN_15_01
GO:0010315	22	auxin efflux	ANN_15_01
GO:0010345	233	suberin biosynthetic process	ANN_15_01
GO:0010417	215	glucuronoxylan biosynthetic process	ANN_15_01
GO:0010431	168	seed maturation	ANN_15_01
GO:0010444	262	guard mother cell differentiation	ANN_15_01
GO:0010449	419	root meristem growth	ANN_15_01
GO:0010483	152	pollen tube reception	ANN_15_01
GO:0010497	469	plasmodesmata-mediated intercellular transport	ANN_15_01
GO:0010582	67	floral meristem determinacy	ANN_15_01
GO:0010584	58	pollen exine formation	ANN_15_01
GO:0010896	131	regulation of triglyceride catabolic process	ANN_15_01
GO:0010941	45	regulation of cell death	ANN_15_01
GO:0015031	469	protein transport	ANN_15_01
GO:0015871	469	choline transport	ANN_15_01
GO:0016024	233	CDP-diacylglycerol biosynthetic process	ANN_15_01
GO:0016036	181	cellular response to phosphate starvation	ANN_15_01
GO:0016045	396	detection of bacterium	ANN_15_01
GO:0016106	172	sesquiterpenoid biosynthetic process	ANN_15_01
GO:0016121	575	carotene catabolic process	ANN_15_01
GO:0016192	469	vesicle-mediated transport	ANN_15_01
GO:0016310	637	phosphorylation	ANN_15_01
GO:0016311	210	dephosphorylation	ANN_15_01
GO:0016567	2485	protein ubiquitination	ANN_15_01
GO:0016571	94	histone methylation	ANN_15_01
GO:0016579	516	protein deubiquitination	ANN_15_01
GO:0016925	235	protein sumoylation	ANN_15_01
GO:0016926	235	protein desumoylation	ANN_15_01
GO:0017148	121	negative regulation of translation	ANN_15_01
GO:0018230	184	peptidyl-L-cysteine S-palmitoylation	ANN_15_01
GO:0018279	58	protein N-linked glycosylation via asparagine	ANN_15_01
GO:0018345	184	protein palmitoylation	ANN_15_01
GO:0019252	74	starch biosynthetic process	ANN_15_01
GO:0019303	74	D-ribose catabolic process	ANN_15_01
GO:0019684	32	photosynthesis, light reaction	ANN_15_01
GO:0019725	126	cellular homeostasis	ANN_15_01
GO:0022900	204	electron transport chain	ANN_15_01
GO:0030100	469	regulation of endocytosis	ANN_15_01
GO:0030308	152	negative regulation of cell growth	ANN_15_01
GO:0030705	509	cytoskeleton-dependent intracellular transport	ANN_15_01
GO:0031146	794	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	ANN_15_01
GO:0031347	32	regulation of defense response	ANN_15_01
GO:0031408	89	oxylipin biosynthetic process	ANN_15_01
GO:0032436	145	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	ANN_15_01
GO:0032543	99	mitochondrial translation	ANN_15_01
GO:0032885	131	regulation of polysaccharide biosynthetic process	ANN_15_01
GO:0032922	152	circadian regulation of gene expression	ANN_15_01
GO:0033577	175	protein glycosylation in endoplasmic reticulum	ANN_15_01
GO:0035266	419	meristem growth	ANN_15_01
GO:0035304	32	regulation of protein dephosphorylation	ANN_15_01
GO:0035494	45	SNARE complex disassembly	ANN_15_01
GO:0042023	148	DNA endoreduplication	ANN_15_01
GO:0042026	189	protein refolding	ANN_15_01
GO:0042127	262	regulation of cell population proliferation	ANN_15_01
GO:0042128	166	nitrate assimilation	ANN_15_01
GO:0042538	635	hyperosmotic salinity response	ANN_15_01
GO:0042545	58	cell wall modification	ANN_15_01
GO:0042549	32	photosystem II stabilization	ANN_15_01
GO:0042742	594	defense response to bacterium	ANN_15_01
GO:0042752	450	regulation of circadian rhythm	ANN_15_01
GO:0042754	450	negative regulation of circadian rhythm	ANN_15_01
GO:0042761	210	very long-chain fatty acid biosynthetic process	ANN_15_01
GO:0043001	45	Golgi to plasma membrane protein transport	ANN_15_01
GO:0043161	45	proteasome-mediated ubiquitin-dependent protein catabolic process	ANN_15_01
GO:0043248	306	proteasome assembly	ANN_15_01
GO:0043433	450	negative regulation of DNA-binding transcription factor activity	ANN_15_01
GO:0043481	22	anthocyanin accumulation in tissues in response to UV light	ANN_15_01
GO:0044255	107	cellular lipid metabolic process	ANN_15_01
GO:0044772	262	mitotic cell cycle phase transition	ANN_15_01
GO:0045489	113	pectin biosynthetic process	ANN_15_01
GO:0045490	215	pectin catabolic process	ANN_15_01
GO:0045491	215	xylan metabolic process	ANN_15_01
GO:0045492	215	xylan biosynthetic process	ANN_15_01
GO:0045787	58	positive regulation of cell cycle	ANN_15_01
GO:0045892	2336	negative regulation of transcription, DNA-templated	ANN_15_01
GO:0045893	208	positive regulation of transcription, DNA-templated	ANN_15_01
GO:0045927	131	positive regulation of growth	ANN_15_01
GO:0045931	396	positive regulation of mitotic cell cycle	ANN_15_01
GO:0045944	148	positive regulation of transcription by RNA polymerase II	ANN_15_01
GO:0046322	110	negative regulation of fatty acid oxidation	ANN_15_01
GO:0046654	29	tetrahydrofolate biosynthetic process	ANN_15_01
GO:0046686	29	response to cadmium ion	ANN_15_01
GO:0046777	818	protein autophosphorylation	ANN_15_01
GO:0046900	173	tetrahydrofolylpolyglutamate metabolic process	ANN_15_01
GO:0048211	45	Golgi vesicle docking	ANN_15_01
GO:0048316	262	seed development	ANN_15_01
GO:0048354	215	mucilage biosynthetic process involved in seed coat development	ANN_15_01
GO:0048358	215	mucilage pectin biosynthetic process	ANN_15_01
GO:0048364	1174	root development	ANN_15_01
GO:0048366	953	leaf development	ANN_15_01
GO:0048367	314	shoot system development	ANN_15_01
GO:0048438	67	floral whorl development	ANN_15_01
GO:0048441	76	petal development	ANN_15_01
GO:0048443	43	stamen development	ANN_15_01
GO:0048481	190	plant ovule development	ANN_15_01
GO:0048508	483	embryonic meristem development	ANN_15_01
GO:0048510	554	regulation of timing of transition from vegetative to reproductive phase	ANN_15_01
GO:0048544	45	recognition of pollen	ANN_15_01
GO:0048574	450	long-day photoperiodism, flowering	ANN_15_01
GO:0048576	235	positive regulation of short-day photoperiodism, flowering	ANN_15_01
GO:0048578	235	positive regulation of long-day photoperiodism, flowering	ANN_15_01
GO:0048653	483	anther development	ANN_15_01
GO:0048766	148	root hair initiation	ANN_15_01
GO:0048827	273	phyllome development	ANN_15_01
GO:0050801	469	ion homeostasis	ANN_15_01
GO:0050832	152	defense response to fungus	ANN_15_01
GO:0051085	189	chaperone cofactor-dependent protein refolding	ANN_15_01
GO:0051225	402	spindle assembly	ANN_15_01
GO:0051321	327	meiotic cell cycle	ANN_15_01
GO:0051510	558	regulation of unidimensional cell growth	ANN_15_01
GO:0051603	198	proteolysis involved in cellular protein catabolic process	ANN_15_01
GO:0051762	172	sesquiterpene biosynthetic process	ANN_15_01
GO:0055074	408	calcium ion homeostasis	ANN_15_01
GO:0055085	869	transmembrane transport	ANN_15_01
GO:0055088	469	lipid homeostasis	ANN_15_01
GO:0060548	126	negative regulation of cell death	ANN_15_01
GO:0060776	320	simple leaf morphogenesis	ANN_15_01
GO:0070588	408	calcium ion transmembrane transport	ANN_15_01
GO:0071277	126	cellular response to calcium ion	ANN_15_01
GO:0071456	1379	cellular response to hypoxia	ANN_15_01
GO:0071461	101	cellular response to redox state	ANN_15_01
GO:0071472	408	cellular response to salt stress	ANN_15_01
GO:0071482	101	cellular response to light stimulus	ANN_15_01
GO:0071784	293	endoplasmic reticulum cisternal network assembly	ANN_15_01
GO:0071786	293	endoplasmic reticulum tubular network organization	ANN_15_01
GO:0080001	215	mucilage extrusion from seed coat	ANN_15_01
GO:0080005	101	photosystem stoichiometry adjustment	ANN_15_01
GO:0080027	172	response to herbivore	ANN_15_01
GO:0080086	21	stamen filament development	ANN_15_01
GO:0080142	98	regulation of salicylic acid biosynthetic process	ANN_15_01
GO:0080167	58	response to karrikin	ANN_15_01
GO:0090057	58	root radial pattern formation	ANN_15_01
GO:0090332	126	stomatal closure	ANN_15_01
GO:0090351	131	seedling development	ANN_15_01
GO:0090603	469	sieve element differentiation	ANN_15_01
GO:0090615	131	mitochondrial mRNA processing	ANN_15_01
GO:0090677	58	reversible differentiation	ANN_15_01
GO:0090691	65	formation of plant organ boundary	ANN_15_01
GO:0090696	419	post-embryonic plant organ development	ANN_15_01
GO:0090709	65	regulation of timing of plant organ formation	ANN_15_01
GO:0098532	108	histone H3-K27 trimethylation	ANN_15_01
GO:0098656	26	anion transmembrane transport	ANN_15_01
GO:1900056	98	negative regulation of leaf senescence	ANN_15_01
GO:1900150	139	regulation of defense response to fungus	ANN_15_01
GO:1900425	139	negative regulation of defense response to bacterium	ANN_15_01
GO:1901347	438	negative regulation of secondary cell wall biogenesis	ANN_15_01
GO:1901348	438	positive regulation of secondary cell wall biogenesis	ANN_15_01
GO:1901371	262	regulation of leaf morphogenesis	ANN_15_01
GO:1901562	110	response to paraquat	ANN_15_01
GO:1902074	438	response to salt	ANN_15_01
GO:1990918	184	double-strand break repair involved in meiotic recombination	ANN_15_01
GO:2000012	888	regulation of auxin polar transport	ANN_15_01
GO:2000014	94	regulation of endosperm development	ANN_15_01
GO:2000028	29	regulation of photoperiodism, flowering	ANN_15_01
GO:2000032	200	regulation of secondary shoot formation	ANN_15_01
GO:2000033	60	regulation of seed dormancy process	ANN_15_01
GO:2000035	554	regulation of stem cell division	ANN_15_01
GO:2000069	554	regulation of post-embryonic root development	ANN_15_01
GO:2000377	60	regulation of reactive oxygen species metabolic process	ANN_15_01
GO:2000652	438	regulation of secondary cell wall biogenesis	ANN_15_01
GO:2000904	126	regulation of starch metabolic process	ANN_15_01
GO:2001006	131	regulation of cellulose biosynthetic process	ANN_15_01
GO:2001141	101	regulation of RNA biosynthetic process	ANN_15_01
GO:0000079	101	regulation of cyclin-dependent protein serine/threonine kinase activity	ARG_06_01
GO:0000103	145	sulfate assimilation	ARG_06_01
GO:0000105	379	histidine biosynthetic process	ARG_06_01
GO:0000462	154	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_06_01
GO:0000479	154	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_06_01
GO:0000902	458	cell morphogenesis	ARG_06_01
GO:0001516	372	prostaglandin biosynthetic process	ARG_06_01
GO:0001678	74	cellular glucose homeostasis	ARG_06_01
GO:0005987	29	sucrose catabolic process	ARG_06_01
GO:0006096	74	glycolytic process	ARG_06_01
GO:0006139	181	nucleobase-containing compound metabolic process	ARG_06_01
GO:0006289	181	nucleotide-excision repair	ARG_06_01
GO:0006352	153	DNA-templated transcription, initiation	ARG_06_01
GO:0006355	1889	regulation of transcription, DNA-templated	ARG_06_01
GO:0006357	458	regulation of transcription by RNA polymerase II	ARG_06_01
GO:0006367	153	transcription initiation from RNA polymerase II promoter	ARG_06_01
GO:0006396	214	RNA processing	ARG_06_01
GO:0006412	58	translation	ARG_06_01
GO:0006457	158	protein folding	ARG_06_01
GO:0006468	104	protein phosphorylation	ARG_06_01
GO:0006486	5	protein glycosylation	ARG_06_01
GO:0006508	1055	proteolysis	ARG_06_01
GO:0006694	372	steroid biosynthetic process	ARG_06_01
GO:0006749	372	glutathione metabolic process	ARG_06_01
GO:0006816	58	calcium ion transport	ARG_06_01
GO:0006820	257	anion transport	ARG_06_01
GO:0006874	58	cellular calcium ion homeostasis	ARG_06_01
GO:0006952	372	defense response	ARG_06_01
GO:0006970	74	response to osmotic stress	ARG_06_01
GO:0007165	2834	signal transduction	ARG_06_01
GO:0007267	58	cell-cell signaling	ARG_06_01
GO:0009082	58	branched-chain amino acid biosynthetic process	ARG_06_01
GO:0009097	58	isoleucine biosynthetic process	ARG_06_01
GO:0009099	58	valine biosynthetic process	ARG_06_01
GO:0009228	332	thiamine biosynthetic process	ARG_06_01
GO:0009409	74	response to cold	ARG_06_01
GO:0009414	46	response to water deprivation	ARG_06_01
GO:0009416	58	response to light stimulus	ARG_06_01
GO:0009555	414	pollen development	ARG_06_01
GO:0009611	122	response to wounding	ARG_06_01
GO:0009617	308	response to bacterium	ARG_06_01
GO:0009620	64	response to fungus	ARG_06_01
GO:0009627	46	systemic acquired resistance	ARG_06_01
GO:0009630	153	gravitropism	ARG_06_01
GO:0009640	95	photomorphogenesis	ARG_06_01
GO:0009644	64	response to high light intensity	ARG_06_01
GO:0009651	74	response to salt stress	ARG_06_01
GO:0009682	308	induced systemic resistance	ARG_06_01
GO:0009691	197	cytokinin biosynthetic process	ARG_06_01
GO:0009695	64	jasmonic acid biosynthetic process	ARG_06_01
GO:0009723	308	response to ethylene	ARG_06_01
GO:0009733	500	response to auxin	ARG_06_01
GO:0009737	1069	response to abscisic acid	ARG_06_01
GO:0009749	214	response to glucose	ARG_06_01
GO:0009753	64	response to jasmonic acid	ARG_06_01
GO:0009789	176	positive regulation of abscisic acid-activated signaling pathway	ARG_06_01
GO:0009793	907	embryo development ending in seed dormancy	ARG_06_01
GO:0009846	191	pollen germination	ARG_06_01
GO:0009860	191	pollen tube growth	ARG_06_01
GO:0009864	58	induced systemic resistance, jasmonic acid mediated signaling pathway	ARG_06_01
GO:0009901	64	anther dehiscence	ARG_06_01
GO:0009908	528	flower development	ARG_06_01
GO:0009926	95	auxin polar transport	ARG_06_01
GO:0009942	433	longitudinal axis specification	ARG_06_01
GO:0009970	145	cellular response to sulfate starvation	ARG_06_01
GO:0010037	864	response to carbon dioxide	ARG_06_01
GO:0010051	528	xylem and phloem pattern formation	ARG_06_01
GO:0010183	191	pollen tube guidance	ARG_06_01
GO:0010229	95	inflorescence development	ARG_06_01
GO:0010252	95	auxin homeostasis	ARG_06_01
GO:0010305	433	leaf vascular tissue pattern formation	ARG_06_01
GO:0010315	95	auxin efflux	ARG_06_01
GO:0010338	95	leaf formation	ARG_06_01
GO:0010343	878	singlet oxygen-mediated programmed cell death	ARG_06_01
GO:0010358	95	leaf shaping	ARG_06_01
GO:0010583	95	response to cyclopentenone	ARG_06_01
GO:0010767	458	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ARG_06_01
GO:0016310	124	phosphorylation	ARG_06_01
GO:0016567	1147	protein ubiquitination	ARG_06_01
GO:0019318	74	hexose metabolic process	ARG_06_01
GO:0019722	58	calcium-mediated signaling	ARG_06_01
GO:0019760	458	glucosinolate metabolic process	ARG_06_01
GO:0030150	158	protein import into mitochondrial matrix	ARG_06_01
GO:0030163	191	protein catabolic process	ARG_06_01
GO:0031119	1004	tRNA pseudouridine synthesis	ARG_06_01
GO:0031124	214	mRNA 3'-end processing	ARG_06_01
GO:0031348	1089	negative regulation of defense response	ARG_06_01
GO:0031408	64	oxylipin biosynthetic process	ARG_06_01
GO:0034440	64	lipid oxidation	ARG_06_01
GO:0035194	214	post-transcriptional gene silencing by RNA	ARG_06_01
GO:0036258	119	multivesicular body assembly	ARG_06_01
GO:0042023	458	DNA endoreduplication	ARG_06_01
GO:0042177	1089	negative regulation of protein catabolic process	ARG_06_01
GO:0043007	159	maintenance of rDNA	ARG_06_01
GO:0043068	458	positive regulation of programmed cell death	ARG_06_01
GO:0043547	176	positive regulation of GTPase activity	ARG_06_01
GO:0044772	101	mitotic cell cycle phase transition	ARG_06_01
GO:0045087	58	innate immune response	ARG_06_01
GO:0045927	156	positive regulation of growth	ARG_06_01
GO:0048364	528	root development	ARG_06_01
GO:0048367	95	shoot system development	ARG_06_01
GO:0048507	433	meristem development	ARG_06_01
GO:0048653	64	anther development	ARG_06_01
GO:0048825	95	cotyledon development	ARG_06_01
GO:0048826	95	cotyledon morphogenesis	ARG_06_01
GO:0048868	152	pollen tube development	ARG_06_01
GO:0050821	158	protein stabilization	ARG_06_01
GO:0050832	697	defense response to fungus	ARG_06_01
GO:0051156	74	glucose 6-phosphate metabolic process	ARG_06_01
GO:0051301	458	cell division	ARG_06_01
GO:0051782	458	negative regulation of cell division	ARG_06_01
GO:0055072	119	iron ion homeostasis	ARG_06_01
GO:0055085	264	transmembrane transport	ARG_06_01
GO:0070072	134	vacuolar proton-transporting V-type ATPase complex assembly	ARG_06_01
GO:0070676	119	intralumenal vesicle formation	ARG_06_01
GO:0070814	145	hydrogen sulfide biosynthetic process	ARG_06_01
GO:0071230	58	cellular response to amino acid stimulus	ARG_06_01
GO:0080086	64	stamen filament development	ARG_06_01
GO:0090153	152	regulation of sphingolipid biosynthetic process	ARG_06_01
GO:1900049	159	regulation of histone exchange	ARG_06_01
GO:1900425	864	negative regulation of defense response to bacterium	ARG_06_01
GO:1902458	75	positive regulation of stomatal opening	ARG_06_01
GO:1904821	878	chloroplast disassembly	ARG_06_01
GO:1990918	181	double-strand break repair involved in meiotic recombination	ARG_06_01
GO:2000038	864	regulation of stomatal complex development	ARG_06_01
GO:2000122	864	negative regulation of stomatal complex development	ARG_06_01
GO:0000027	118	ribosomal large subunit assembly	ARG_10_01
GO:0000038	46	very long-chain fatty acid metabolic process	ARG_10_01
GO:0000045	223	autophagosome assembly	ARG_10_01
GO:0000056	357	ribosomal small subunit export from nucleus	ARG_10_01
GO:0000165	215	MAPK cascade	ARG_10_01
GO:0000187	215	activation of MAPK activity	ARG_10_01
GO:0000390	107	spliceosomal complex disassembly	ARG_10_01
GO:0000398	513	mRNA splicing, via spliceosome	ARG_10_01
GO:0000422	223	autophagy of mitochondrion	ARG_10_01
GO:0000447	357	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_10_01
GO:0000460	230	maturation of 5.8S rRNA	ARG_10_01
GO:0000462	87	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_10_01
GO:0000470	406	maturation of LSU-rRNA	ARG_10_01
GO:0000472	357	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_10_01
GO:0000476	45	maturation of 4.5S rRNA	ARG_10_01
GO:0000480	357	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ARG_10_01
GO:0000578	60	embryonic axis specification	ARG_10_01
GO:0000724	218	double-strand break repair via homologous recombination	ARG_10_01
GO:0000967	45	rRNA 5'-end processing	ARG_10_01
GO:0001188	81	RNA polymerase I preinitiation complex assembly	ARG_10_01
GO:0001510	202	RNA methylation	ARG_10_01
GO:0001522	58	pseudouridine synthesis	ARG_10_01
GO:0001666	687	response to hypoxia	ARG_10_01
GO:0001678	409	cellular glucose homeostasis	ARG_10_01
GO:0001934	223	positive regulation of protein phosphorylation	ARG_10_01
GO:0002213	98	defense response to insect	ARG_10_01
GO:0002221	110	pattern recognition receptor signaling pathway	ARG_10_01
GO:0002229	64	defense response to oomycetes	ARG_10_01
GO:0002239	64	response to oomycetes	ARG_10_01
GO:0002939	116	tRNA N1-guanine methylation	ARG_10_01
GO:0005975	484	carbohydrate metabolic process	ARG_10_01
GO:0006044	46	N-acetylglucosamine metabolic process	ARG_10_01
GO:0006081	23	cellular aldehyde metabolic process	ARG_10_01
GO:0006096	409	glycolytic process	ARG_10_01
GO:0006103	230	2-oxoglutarate metabolic process	ARG_10_01
GO:0006163	38	purine nucleotide metabolic process	ARG_10_01
GO:0006165	38	nucleoside diphosphate phosphorylation	ARG_10_01
GO:0006216	23	cytidine catabolic process	ARG_10_01
GO:0006268	154	DNA unwinding involved in DNA replication	ARG_10_01
GO:0006281	223	DNA repair	ARG_10_01
GO:0006289	154	nucleotide-excision repair	ARG_10_01
GO:0006302	127	double-strand break repair	ARG_10_01
GO:0006334	64	nucleosome assembly	ARG_10_01
GO:0006338	113	chromatin remodeling	ARG_10_01
GO:0006355	2117	regulation of transcription, DNA-templated	ARG_10_01
GO:0006357	496	regulation of transcription by RNA polymerase II	ARG_10_01
GO:0006362	81	transcription elongation from RNA polymerase I promoter	ARG_10_01
GO:0006364	118	rRNA processing	ARG_10_01
GO:0006396	515	RNA processing	ARG_10_01
GO:0006397	230	mRNA processing	ARG_10_01
GO:0006401	230	RNA catabolic process	ARG_10_01
GO:0006402	122	mRNA catabolic process	ARG_10_01
GO:0006412	123	translation	ARG_10_01
GO:0006414	373	translational elongation	ARG_10_01
GO:0006457	421	protein folding	ARG_10_01
GO:0006468	4358	protein phosphorylation	ARG_10_01
GO:0006486	201	protein glycosylation	ARG_10_01
GO:0006487	91	protein N-linked glycosylation	ARG_10_01
GO:0006491	85	N-glycan processing	ARG_10_01
GO:0006506	145	GPI anchor biosynthetic process	ARG_10_01
GO:0006508	85	proteolysis	ARG_10_01
GO:0006511	1236	ubiquitin-dependent protein catabolic process	ARG_10_01
GO:0006531	230	aspartate metabolic process	ARG_10_01
GO:0006536	230	glutamate metabolic process	ARG_10_01
GO:0006574	50	valine catabolic process	ARG_10_01
GO:0006623	60	protein targeting to vacuole	ARG_10_01
GO:0006629	232	lipid metabolic process	ARG_10_01
GO:0006631	197	fatty acid metabolic process	ARG_10_01
GO:0006633	264	fatty acid biosynthetic process	ARG_10_01
GO:0006636	396	unsaturated fatty acid biosynthetic process	ARG_10_01
GO:0006807	230	nitrogen compound metabolic process	ARG_10_01
GO:0006813	29	potassium ion transport	ARG_10_01
GO:0006816	275	calcium ion transport	ARG_10_01
GO:0006820	90	anion transport	ARG_10_01
GO:0006869	314	lipid transport	ARG_10_01
GO:0006874	275	cellular calcium ion homeostasis	ARG_10_01
GO:0006875	68	cellular metal ion homeostasis	ARG_10_01
GO:0006886	103	intracellular protein transport	ARG_10_01
GO:0006887	255	exocytosis	ARG_10_01
GO:0006888	45	endoplasmic reticulum to Golgi vesicle-mediated transport	ARG_10_01
GO:0006893	67	Golgi to plasma membrane transport	ARG_10_01
GO:0006896	58	Golgi to vacuole transport	ARG_10_01
GO:0006897	60	endocytosis	ARG_10_01
GO:0006898	118	receptor-mediated endocytosis	ARG_10_01
GO:0006906	45	vesicle fusion	ARG_10_01
GO:0006913	134	nucleocytoplasmic transport	ARG_10_01
GO:0006914	223	autophagy	ARG_10_01
GO:0006950	139	response to stress	ARG_10_01
GO:0006952	184	defense response	ARG_10_01
GO:0006970	271	response to osmotic stress	ARG_10_01
GO:0006972	29	hyperosmotic response	ARG_10_01
GO:0006974	151	cellular response to DNA damage stimulus	ARG_10_01
GO:0006979	1036	response to oxidative stress	ARG_10_01
GO:0006995	158	cellular response to nitrogen starvation	ARG_10_01
GO:0007004	154	telomere maintenance via telomerase	ARG_10_01
GO:0007015	46	actin filament organization	ARG_10_01
GO:0007018	177	microtubule-based movement	ARG_10_01
GO:0007032	60	endosome organization	ARG_10_01
GO:0007033	60	vacuole organization	ARG_10_01
GO:0007098	97	centrosome cycle	ARG_10_01
GO:0007131	281	reciprocal meiotic recombination	ARG_10_01
GO:0007141	154	male meiosis I	ARG_10_01
GO:0007165	659	signal transduction	ARG_10_01
GO:0007186	65	G protein-coupled receptor signaling pathway	ARG_10_01
GO:0007205	191	protein kinase C-activating G protein-coupled receptor signaling pathway	ARG_10_01
GO:0007267	308	cell-cell signaling	ARG_10_01
GO:0007275	145	multicellular organism development	ARG_10_01
GO:0007568	136	aging	ARG_10_01
GO:0007623	288	circadian rhythm	ARG_10_01
GO:0007639	95	homeostasis of number of meristem cells	ARG_10_01
GO:0008104	67	protein localization	ARG_10_01
GO:0008380	385	RNA splicing	ARG_10_01
GO:0008610	46	lipid biosynthetic process	ARG_10_01
GO:0009058	572	biosynthetic process	ARG_10_01
GO:0009142	38	nucleoside triphosphate biosynthetic process	ARG_10_01
GO:0009266	488	response to temperature stimulus	ARG_10_01
GO:0009269	23	response to desiccation	ARG_10_01
GO:0009294	64	DNA mediated transformation	ARG_10_01
GO:0009395	158	phospholipid catabolic process	ARG_10_01
GO:0009408	517	response to heat	ARG_10_01
GO:0009409	1159	response to cold	ARG_10_01
GO:0009411	610	response to UV	ARG_10_01
GO:0009414	733	response to water deprivation	ARG_10_01
GO:0009416	653	response to light stimulus	ARG_10_01
GO:0009451	822	RNA modification	ARG_10_01
GO:0009553	435	embryo sac development	ARG_10_01
GO:0009555	339	pollen development	ARG_10_01
GO:0009611	364	response to wounding	ARG_10_01
GO:0009615	565	response to virus	ARG_10_01
GO:0009617	942	response to bacterium	ARG_10_01
GO:0009620	370	response to fungus	ARG_10_01
GO:0009624	151	response to nematode	ARG_10_01
GO:0009625	98	response to insect	ARG_10_01
GO:0009626	215	plant-type hypersensitive response	ARG_10_01
GO:0009627	98	systemic acquired resistance	ARG_10_01
GO:0009638	60	phototropism	ARG_10_01
GO:0009645	45	response to low light intensity stimulus	ARG_10_01
GO:0009651	803	response to salt stress	ARG_10_01
GO:0009660	60	amyloplast organization	ARG_10_01
GO:0009664	139	plant-type cell wall organization	ARG_10_01
GO:0009682	387	induced systemic resistance	ARG_10_01
GO:0009693	181	ethylene biosynthetic process	ARG_10_01
GO:0009723	927	response to ethylene	ARG_10_01
GO:0009725	116	response to hormone	ARG_10_01
GO:0009733	790	response to auxin	ARG_10_01
GO:0009735	210	response to cytokinin	ARG_10_01
GO:0009736	210	cytokinin-activated signaling pathway	ARG_10_01
GO:0009737	471	response to abscisic acid	ARG_10_01
GO:0009738	271	abscisic acid-activated signaling pathway	ARG_10_01
GO:0009739	201	response to gibberellin	ARG_10_01
GO:0009740	257	gibberellic acid mediated signaling pathway	ARG_10_01
GO:0009741	979	response to brassinosteroid	ARG_10_01
GO:0009742	496	brassinosteroid mediated signaling pathway	ARG_10_01
GO:0009744	695	response to sucrose	ARG_10_01
GO:0009747	409	hexokinase-dependent signaling	ARG_10_01
GO:0009749	493	response to glucose	ARG_10_01
GO:0009751	162	response to salicylic acid	ARG_10_01
GO:0009753	58	response to jasmonic acid	ARG_10_01
GO:0009788	1059	negative regulation of abscisic acid-activated signaling pathway	ARG_10_01
GO:0009791	1137	post-embryonic development	ARG_10_01
GO:0009793	2040	embryo development ending in seed dormancy	ARG_10_01
GO:0009808	139	lignin metabolic process	ARG_10_01
GO:0009813	610	flavonoid biosynthetic process	ARG_10_01
GO:0009825	236	multidimensional cell growth	ARG_10_01
GO:0009826	470	unidimensional cell growth	ARG_10_01
GO:0009845	343	seed germination	ARG_10_01
GO:0009854	148	oxidative photosynthetic carbon pathway	ARG_10_01
GO:0009855	652	determination of bilateral symmetry	ARG_10_01
GO:0009860	223	pollen tube growth	ARG_10_01
GO:0009862	456	systemic acquired resistance, salicylic acid mediated signaling pathway	ARG_10_01
GO:0009863	201	salicylic acid mediated signaling pathway	ARG_10_01
GO:0009867	259	jasmonic acid mediated signaling pathway	ARG_10_01
GO:0009908	481	flower development	ARG_10_01
GO:0009909	253	regulation of flower development	ARG_10_01
GO:0009910	113	negative regulation of flower development	ARG_10_01
GO:0009913	46	epidermal cell differentiation	ARG_10_01
GO:0009915	375	phloem sucrose loading	ARG_10_01
GO:0009938	251	negative regulation of gibberellic acid mediated signaling pathway	ARG_10_01
GO:0009944	197	polarity specification of adaxial/abaxial axis	ARG_10_01
GO:0009959	60	negative gravitropism	ARG_10_01
GO:0009965	924	leaf morphogenesis	ARG_10_01
GO:0009972	23	cytidine deamination	ARG_10_01
GO:0010014	652	meristem initiation	ARG_10_01
GO:0010025	197	wax biosynthetic process	ARG_10_01
GO:0010029	192	regulation of seed germination	ARG_10_01
GO:0010030	136	positive regulation of seed germination	ARG_10_01
GO:0010038	795	response to metal ion	ARG_10_01
