Term	Annotation	Total_Grantham_SV	Rank_SV	Total_Grantham_Bkgd	Rank_Bkgd	Rank_Compare	Rank_Compare_Abs
GO:0006621	protein retention in ER lumen	1616	1156.5	NA	NA	NA	NA
GO:0006623	protein targeting to vacuole	2877	270	1173	443	-173	173
GO:0006624	vacuolar protein processing	2351	493.5	2394	176	317.5	317.5
GO:0006626	protein targeting to mitochondrion	1683	1095.5	710	722	373.5	373.5
GO:0006629	lipid metabolic process	9470	25	2371	178	-153	153
GO:0006631	fatty acid metabolic process	2138	708.5	606	789	-80.5	80.5
GO:0006633	fatty acid biosynthetic process	3103	220	3740	87	133	133
GO:0006635	fatty acid beta-oxidation	1186	1540	NA	NA	NA	NA
GO:0006636	unsaturated fatty acid biosynthetic process	2912	258	1219	424	-166	166
GO:0006644	phospholipid metabolic process	1498	1262.5	NA	NA	NA	NA
GO:0006646	phosphatidylethanolamine biosynthetic process	1691	1083.5	876	611	472.5	472.5
GO:0006650	glycerophospholipid metabolic process	670	1964	NA	NA	NA	NA
GO:0006651	diacylglycerol biosynthetic process	548	2067.5	209	1003	1064.5	1064.5
GO:0006654	phosphatidic acid biosynthetic process	1279	1451	2723	150	1301	1301
GO:0006655	phosphatidylglycerol biosynthetic process	1284	1448	630	765.5	682.5	682.5
GO:0006656	phosphatidylcholine biosynthetic process	1380	1372	NA	NA	NA	NA
GO:0006661	phosphatidylinositol biosynthetic process	1350	1396.5	966	551.5	845	845
GO:0006662	glycerol ether metabolic process	784	1874	NA	NA	NA	NA
GO:0006665	sphingolipid metabolic process	2173	677	NA	NA	NA	NA
GO:0006680	glucosylceramide catabolic process	1106	1624	NA	NA	NA	NA
GO:0006694	steroid biosynthetic process	2562	372	NA	NA	NA	NA
GO:0006722	triterpenoid metabolic process	2294	558	NA	NA	NA	NA
GO:0006723	cuticle hydrocarbon biosynthetic process	425	2155.5	NA	NA	NA	NA
GO:0006730	one-carbon metabolic process	1295	1436	3705	89	1347	1347
GO:0006739	NADP metabolic process	1069	1649.5	NA	NA	NA	NA
GO:0006741	NADP biosynthetic process	1398	1355	NA	NA	NA	NA
GO:0006744	ubiquinone biosynthetic process	2364	487	1027	512	-25	25
GO:0006747	FAD biosynthetic process	561	2052.5	NA	NA	NA	NA
GO:0006749	glutathione metabolic process	1034	1682	2578	162	1520	1520
GO:0006750	glutathione biosynthetic process	783	1876	NA	NA	NA	NA
GO:0006760	folic acid-containing compound metabolic process	593	2028	NA	NA	NA	NA
GO:0006779	porphyrin-containing compound biosynthetic process	1607	1164.5	639	761	403.5	403.5
GO:0006782	protoporphyrinogen IX biosynthetic process	1669	1106	828	644	462	462
GO:0006783	heme biosynthetic process	735	1916	337	949	967	967
GO:0006784	heme A biosynthetic process	894	1800	NA	NA	NA	NA
GO:0006790	sulfur compound metabolic process	2283	568	NA	NA	NA	NA
GO:0006796	phosphate-containing compound metabolic process	1307	1428.5	NA	NA	NA	NA
GO:0006805	xenobiotic metabolic process	2385	466	NA	NA	NA	NA
GO:0006807	nitrogen compound metabolic process	1904	912	661	746	166	166
GO:0006808	regulation of nitrogen utilization	1871	936	NA	NA	NA	NA
GO:0006809	nitric oxide biosynthetic process	2227	619	NA	NA	NA	NA
GO:0006810	transport	2323	529	1730	275	254	254
GO:0006812	cation transport	520	2088	NA	NA	NA	NA
GO:0006813	potassium ion transport	2017	809	953	553.5	255.5	255.5
GO:0006814	sodium ion transport	2220	629	NA	NA	NA	NA
GO:0006816	calcium ion transport	1001	1707	1689	283	1424	1424
GO:0006817	phosphate ion transport	1514	1253.5	NA	NA	NA	NA
GO:0006820	anion transport	431	2148.5	NA	NA	NA	NA
GO:0006821	chloride transport	327	2238.5	586	799	1439.5	1439.5
GO:0006826	iron ion transport	1018	1691.5	NA	NA	NA	NA
GO:0006828	manganese ion transport	1016	1694	NA	NA	NA	NA
GO:0006829	zinc ion transport	2482	409.5	1069	483	-73.5	73.5
GO:0006833	water transport	2860	276	1783	264	12	12
GO:0006835	dicarboxylic acid transport	456	2125	NA	NA	NA	NA
GO:0006839	mitochondrial transport	996	1712	436	892	820	820
GO:0006844	acyl carnitine transport	46	2380.5	NA	NA	NA	NA
GO:0006855	drug transmembrane transport	724	1928.5	NA	NA	NA	NA
GO:0006857	oligopeptide transport	1374	1377	1262	408	969	969
GO:0006862	nucleotide transport	1203	1524.5	NA	NA	NA	NA
GO:0006863	purine nucleobase transport	3160	207	NA	NA	NA	NA
GO:0006865	amino acid transport	187	2306	217	998	1308	1308
GO:0006869	lipid transport	1918	901	1130	458	443	443
GO:0006873	cellular ion homeostasis	231	2284	543	825	1459	1459
GO:0006874	cellular calcium ion homeostasis	2338	514	2181	198	316	316
GO:0006875	cellular metal ion homeostasis	413	2164.5	445	888.5	1276	1276
GO:0006878	cellular copper ion homeostasis	225	2288	324	956	1332	1332
GO:0006879	cellular iron ion homeostasis	441	2138	1039	502.5	1635.5	1635.5
GO:0006883	cellular sodium ion homeostasis	311	2242	NA	NA	NA	NA
GO:0006885	regulation of pH	1826	974	NA	NA	NA	NA
GO:0006886	intracellular protein transport	1488	1276.5	2952	128	1148.5	1148.5
GO:0006887	exocytosis	1358	1390	5886	32	1358	1358
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	826	1842	4257	80	1762	1762
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	2210	639.5	913	582.5	57	57
GO:0006891	intra-Golgi vesicle-mediated transport	2342	507.5	392	919	-411.5	411.5
GO:0006893	Golgi to plasma membrane transport	801	1864	898	598	1266	1266
GO:0006895	Golgi to endosome transport	688	1952	NA	NA	NA	NA
GO:0006896	Golgi to vacuole transport	1374	1377	NA	NA	NA	NA
GO:0006897	endocytosis	1336	1409	235	991	418	418
GO:0006898	receptor-mediated endocytosis	1963	856.5	NA	NA	NA	NA
GO:0006900	vesicle budding from membrane	2621	358	2224	193	165	165
GO:0006904	vesicle docking involved in exocytosis	2392	461.5	1049	494.5	-33	33
GO:0006906	vesicle fusion	2544	378.5	1202	429.5	-51	51
GO:0006913	nucleocytoplasmic transport	1321	1417	NA	NA	NA	NA
GO:0006914	autophagy	549	2065	NA	NA	NA	NA
GO:0006949	syncytium formation	2228	618	1376	360	258	258
GO:0006950	response to stress	3237	198	4963	52	146	146
GO:0006952	defense response	5499	71	4172	82	-11	11
GO:0006955	immune response	768	1890.5	665	744.5	1146	1146
GO:0006970	response to osmotic stress	9802	23	8515	21	2	2
GO:0006972	hyperosmotic response	793	1868	NA	NA	NA	NA
GO:0006974	cellular response to DNA damage stimulus	1269	1462.5	1264	407	1055.5	1055.5
GO:0006979	response to oxidative stress	7460	38	7529	23	15	15
GO:0006995	cellular response to nitrogen starvation	648	1986	261	980.5	1005.5	1005.5
GO:0006997	nucleus organization	1893	924	NA	NA	NA	NA
GO:0007000	nucleolus organization	1190	1536.5	NA	NA	NA	NA
GO:0007004	telomere maintenance via telomerase	2964	243.5	NA	NA	NA	NA
GO:0007005	mitochondrion organization	1152	1583	3394	101	1482	1482
GO:0007009	plasma membrane organization	1478	1287.5	NA	NA	NA	NA
GO:0007010	cytoskeleton organization	407	2169.5	311	963.5	1206	1206
GO:0007015	actin filament organization	1264	1466.5	3454	99	1367.5	1367.5
GO:0007017	microtubule-based process	1340	1406.5	423	899	507.5	507.5
GO:0007018	microtubule-based movement	2316	535.5	2191	197	338.5	338.5
GO:0007019	microtubule depolymerization	1188	1538.5	NA	NA	NA	NA
GO:0007020	microtubule nucleation	1042	1677	419	902.5	774.5	774.5
GO:0007021	tubulin complex assembly	2343	505.5	NA	NA	NA	NA
GO:0007023	post-chaperonin tubulin folding pathway	1538	1230.5	NA	NA	NA	NA
GO:0007029	endoplasmic reticulum organization	1111	1616.5	1634	300	1316.5	1316.5
GO:0007030	Golgi organization	1547	1220.5	840	633	587.5	587.5
GO:0007031	peroxisome organization	1883	933	NA	NA	NA	NA
GO:0007032	endosome organization	707	1940	NA	NA	NA	NA
GO:0007033	vacuole organization	2875	271	1388	355	-84	84
GO:0007034	vacuolar transport	2353	490.5	3242	108	382.5	382.5
GO:0007035	vacuolar acidification	2350	495.5	NA	NA	NA	NA
GO:0007039	protein catabolic process in the vacuole	1556	1213.5	NA	NA	NA	NA
GO:0007043	cell-cell junction assembly	217	2293	NA	NA	NA	NA
GO:0007049	cell cycle	187	2306	NA	NA	NA	NA
GO:0007050	cell cycle arrest	280	2258	676	739.5	1518.5	1518.5
GO:0007052	mitotic spindle organization	1728	1048.5	1441	338	710.5	710.5
GO:0007059	chromosome segregation	521	2087	1026	514.5	1572.5	1572.5
GO:0007062	sister chromatid cohesion	2724	320	1046	497.5	-177.5	177.5
GO:0007064	mitotic sister chromatid cohesion	2253	592	445	888.5	-296.5	296.5
GO:0007076	mitotic chromosome condensation	1003	1704	NA	NA	NA	NA
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	1287	1444.5	NA	NA	NA	NA
GO:0007093	mitotic cell cycle checkpoint	1001	1707	2809	137	1570	1570
GO:0007094	mitotic spindle assembly checkpoint	1012	1697	735	710	987	987
GO:0007097	nuclear migration	1251	1483	NA	NA	NA	NA
GO:0007098	centrosome cycle	2345	501.5	142	1024	-522.5	522.5
GO:0007099	centriole replication	316	2240.5	NA	NA	NA	NA
GO:0007112	male meiosis cytokinesis	901	1791.5	NA	NA	NA	NA
GO:0007128	meiotic prophase I	929	1759	NA	NA	NA	NA
GO:0007129	homologous chromosome pairing at meiosis	1515	1251.5	NA	NA	NA	NA
GO:0007130	synaptonemal complex assembly	2802	289.5	992	535	-245.5	245.5
GO:0007131	reciprocal meiotic recombination	2255	589	991	536	53	53
GO:0007136	meiotic prophase II	930	1758	NA	NA	NA	NA
GO:0007141	male meiosis I	1056	1661.5	NA	NA	NA	NA
GO:0007142	male meiosis II	949	1740.5	NA	NA	NA	NA
GO:0007163	establishment or maintenance of cell polarity	550	2062	NA	NA	NA	NA
GO:0007165	signal transduction	10570	19	10549	14	5	5
GO:0007166	cell surface receptor signaling pathway	5326	74	NA	NA	NA	NA
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	2456	423	NA	NA	NA	NA
GO:0007186	G protein-coupled receptor signaling pathway	2544	378.5	1141	453.5	-75	75
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	268	2265	NA	NA	NA	NA
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	114	2339	NA	NA	NA	NA
GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway	2056	777	NA	NA	NA	NA
GO:0007231	osmosensory signaling pathway	2211	638	NA	NA	NA	NA
GO:0007263	nitric oxide mediated signal transduction	1978	844.5	NA	NA	NA	NA
GO:0007264	small GTPase mediated signal transduction	4152	114	NA	NA	NA	NA
GO:0007266	Rho protein signal transduction	2155	693	NA	NA	NA	NA
GO:0007267	cell-cell signaling	651	1984	99	1039	945	945
GO:0007275	multicellular organism development	1819	978.5	827	645.5	333	333
GO:0007276	gamete generation	736	1914.5	NA	NA	NA	NA
GO:0007346	regulation of mitotic cell cycle	1810	988	2024	224	764	764
GO:0007389	pattern specification process	1728	1048.5	615	784	264.5	264.5
GO:0007568	aging	339	2229	NA	NA	NA	NA
GO:0007584	response to nutrient	2004	825	NA	NA	NA	NA
GO:0007623	circadian rhythm	3903	130	1413	349	-219	219
GO:0007639	homeostasis of number of meristem cells	844	1829	NA	NA	NA	NA
GO:0008033	tRNA processing	2756	311	NA	NA	NA	NA
GO:0008064	regulation of actin polymerization or depolymerization	1801	992.5	NA	NA	NA	NA
GO:0008104	protein localization	1653	1124.5	NA	NA	NA	NA
GO:0008153	para-aminobenzoic acid biosynthetic process	1235	1496	NA	NA	NA	NA
GO:0008154	actin polymerization or depolymerization	42	2382	NA	NA	NA	NA
GO:0008202	steroid metabolic process	2295	557	NA	NA	NA	NA
GO:0008219	cell death	975	1726	NA	NA	NA	NA
GO:0008272	sulfate transport	2222	624.5	989	537	87.5	87.5
GO:0008283	cell population proliferation	203	2297	203	1005.5	1291.5	1291.5
GO:0008284	positive regulation of cell population proliferation	1407	1351.5	NA	NA	NA	NA
GO:0008285	negative regulation of cell population proliferation	2353	490.5	743	703.5	-213	213
GO:0008295	spermidine biosynthetic process	2169	682	1341	378.5	303.5	303.5
GO:0008299	isoprenoid biosynthetic process	1623	1149.5	347	945	204.5	204.5
GO:0008333	endosome to lysosome transport	897	1795.5	NA	NA	NA	NA
GO:0008356	asymmetric cell division	396	2178	112	1035	1143	1143
GO:0008360	regulation of cell shape	1832	968.5	NA	NA	NA	NA
GO:0008361	regulation of cell size	2005	823	NA	NA	NA	NA
GO:0008380	RNA splicing	3767	143	925	572	-429	429
GO:0008610	lipid biosynthetic process	1474	1292	2492	167	1125	1125
GO:0008611	ether lipid biosynthetic process	638	1998.5	NA	NA	NA	NA
GO:0008615	pyridoxine biosynthetic process	1714	1058	NA	NA	NA	NA
GO:0008643	carbohydrate transport	1680	1100	NA	NA	NA	NA
GO:0008652	cellular amino acid biosynthetic process	220	2291	NA	NA	NA	NA
GO:0008654	phospholipid biosynthetic process	1800	994	1225	420	574	574
GO:0009051	pentose-phosphate shunt, oxidative branch	1342	1405	NA	NA	NA	NA
GO:0009058	biosynthetic process	1558	1210.5	835	636	574.5	574.5
GO:0009060	aerobic respiration	57	2373	58	1055	1318	1318
GO:0009061	anaerobic respiration	79	2360	NA	NA	NA	NA
GO:0009067	aspartate family amino acid biosynthetic process	110	2342	NA	NA	NA	NA
GO:0009072	aromatic amino acid family metabolic process	102	2349	NA	NA	NA	NA
GO:0009073	aromatic amino acid family biosynthetic process	100	2350	NA	NA	NA	NA
GO:0009082	branched-chain amino acid biosynthetic process	265	2266	NA	NA	NA	NA
GO:0009083	branched-chain amino acid catabolic process	332	2234	1976	233	2001	2001
GO:0009086	methionine biosynthetic process	949	1740.5	NA	NA	NA	NA
GO:0009088	threonine biosynthetic process	2252	594.5	NA	NA	NA	NA
GO:0009089	lysine biosynthetic process via diaminopimelate	985	1720.5	NA	NA	NA	NA
GO:0009090	homoserine biosynthetic process	755	1897.5	NA	NA	NA	NA
GO:0009094	L-phenylalanine biosynthetic process	1106	1624	NA	NA	NA	NA
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway	310	2243	NA	NA	NA	NA
GO:0009097	isoleucine biosynthetic process	870	1814.5	NA	NA	NA	NA
GO:0009098	leucine biosynthetic process	858	1822.5	NA	NA	NA	NA
GO:0009099	valine biosynthetic process	2413	445	NA	NA	NA	NA
GO:0009102	biotin biosynthetic process	164	2317	NA	NA	NA	NA
GO:0009113	purine nucleobase biosynthetic process	1681	1098.5	NA	NA	NA	NA
GO:0009116	nucleoside metabolic process	1445	1318.5	NA	NA	NA	NA
GO:0009132	nucleoside diphosphate metabolic process	1285	1447	NA	NA	NA	NA
GO:0009142	nucleoside triphosphate biosynthetic process	1233	1497.5	NA	NA	NA	NA
GO:0009150	purine ribonucleotide metabolic process	1655	1122	NA	NA	NA	NA
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	526	2083.5	NA	NA	NA	NA
GO:0009165	nucleotide biosynthetic process	1302	1431	NA	NA	NA	NA
GO:0009202	deoxyribonucleoside triphosphate biosynthetic process	471	2114	NA	NA	NA	NA
GO:0009220	pyrimidine ribonucleotide biosynthetic process	1838	961.5	878	607	354.5	354.5
GO:0009226	nucleotide-sugar biosynthetic process	1252	1480	524	835.5	644.5	644.5
GO:0009228	thiamine biosynthetic process	2720	322.5	1056	491	-168.5	168.5
GO:0009229	thiamine diphosphate biosynthetic process	2489	403	NA	NA	NA	NA
GO:0009231	riboflavin biosynthetic process	2057	776	2842	135	641	641
GO:0009240	isopentenyl diphosphate biosynthetic process	906	1783	NA	NA	NA	NA
GO:0009247	glycolipid biosynthetic process	902	1789.5	NA	NA	NA	NA
GO:0009249	protein lipoylation	1641	1132	NA	NA	NA	NA
GO:0009251	glucan catabolic process	755	1897.5	NA	NA	NA	NA
GO:0009257	10-formyltetrahydrofolate biosynthetic process	39	2383	NA	NA	NA	NA
GO:0009263	deoxyribonucleotide biosynthetic process	472	2113	NA	NA	NA	NA
GO:0009266	response to temperature stimulus	2617	360	1587	310.5	49.5	49.5
GO:0009267	cellular response to starvation	460	2123	133	1029	1094	1094
GO:0009269	response to desiccation	3053	227	1678	285	-58	58
GO:0009294	DNA mediated transformation	3719	148	525	834	-686	686
GO:0009299	mRNA transcription	1222	1507.5	NA	NA	NA	NA
GO:0009301	snRNA transcription	2157	691.5	NA	NA	NA	NA
GO:0009306	protein secretion	1645	1128	760	689	439	439
GO:0009308	amine metabolic process	67	2368	NA	NA	NA	NA
GO:0009311	oligosaccharide metabolic process	1487	1278	NA	NA	NA	NA
GO:0009312	oligosaccharide biosynthetic process	1210	1516	NA	NA	NA	NA
GO:0009314	response to radiation	2017	809	NA	NA	NA	NA
GO:0009395	phospholipid catabolic process	1999	827	2739	147	680	680
GO:0009407	toxin catabolic process	2257	586	2472	168	418	418
GO:0009408	response to heat	7035	43	1612	303.5	-260.5	260.5
GO:0009409	response to cold	13809	12	4986	51	-39	39
GO:0009411	response to UV	3059	226	NA	NA	NA	NA
GO:0009413	response to flooding	2107	739	NA	NA	NA	NA
GO:0009414	response to water deprivation	13749	13	9283	19	-6	6
GO:0009416	response to light stimulus	6694	51	4294	79	-28	28
GO:0009423	chorismate biosynthetic process	737	1912.5	NA	NA	NA	NA
GO:0009435	NAD biosynthetic process	1063	1654	NA	NA	NA	NA
GO:0009443	pyridoxal 5'-phosphate salvage	1712	1061	NA	NA	NA	NA
GO:0009448	gamma-aminobutyric acid metabolic process	644	1990	NA	NA	NA	NA
GO:0009450	gamma-aminobutyric acid catabolic process	758	1895	NA	NA	NA	NA
GO:0009451	RNA modification	5184	79	4801	62	17	17
GO:0009452	7-methylguanosine RNA capping	128	2331	NA	NA	NA	NA
GO:0009553	embryo sac development	3060	225	3684	90	135	135
GO:0009554	megasporogenesis	1222	1507.5	NA	NA	NA	NA
GO:0009555	pollen development	5955	62	3583	94	-32	32
GO:0009556	microsporogenesis	3705	150	1673	287	-137	137
GO:0009558	embryo sac cellularization	509	2096	NA	NA	NA	NA
GO:0009561	megagametogenesis	951	1738	556	818	920	920
GO:0009567	double fertilization forming a zygote and endosperm	572	2043.5	791	667.5	1376	1376
GO:0009584	detection of visible light	915	1772	NA	NA	NA	NA
GO:0009585	red, far-red light phototransduction	5530	70	NA	NA	NA	NA
GO:0009594	detection of nutrient	711	1936.5	NA	NA	NA	NA
GO:0009610	response to symbiotic fungus	2845	279	2208	194	85	85
GO:0009611	response to wounding	15378	11	7089	26	-15	15
GO:0009612	response to mechanical stimulus	2050	783.5	1509	330	453.5	453.5
GO:0009615	response to virus	3128	213	1587	310.5	-97.5	97.5
GO:0009616	RNAi-mediated antiviral immune response	2081	755.5	1702	280	475.5	475.5
GO:0009617	response to bacterium	8816	30	5169	40	-10	10
GO:0009620	response to fungus	3328	188	2004	227	-39	39
GO:0009624	response to nematode	3628	160.5	1180	439	-278.5	278.5
GO:0009625	response to insect	4572	96	5002	49	47	47
GO:0009626	plant-type hypersensitive response	7289	40	693	731	-691	691
GO:0009627	systemic acquired resistance	5763	65	1154	446	-381	381
GO:0009628	response to abiotic stimulus	1929	886	906	592.5	293.5	293.5
GO:0009629	response to gravity	2307	546	NA	NA	NA	NA
GO:0009630	gravitropism	3628	160.5	NA	NA	NA	NA
GO:0009631	cold acclimation	2113	733.5	2079	214	519.5	519.5
GO:0009635	response to herbicide	2244	603	NA	NA	NA	NA
GO:0009636	response to toxic substance	2572	369	2695	153	216	216
GO:0009637	response to blue light	3653	155	1423	345.5	-190.5	190.5
GO:0009638	phototropism	1685	1092	576	806	286	286
GO:0009639	response to red or far red light	3341	186	1049	494.5	-308.5	308.5
GO:0009640	photomorphogenesis	6959	46	1354	370	-324	324
GO:0009641	shade avoidance	3974	124	NA	NA	NA	NA
GO:0009642	response to light intensity	2264	577.5	NA	NA	NA	NA
GO:0009643	photosynthetic acclimation	1314	1424	571	809.5	614.5	614.5
GO:0009644	response to high light intensity	2620	359	2017	225.5	133.5	133.5
GO:0009645	response to low light intensity stimulus	2192	659	938	562.5	96.5	96.5
GO:0009646	response to absence of light	2220	629	1418	348	281	281
GO:0009647	skotomorphogenesis	2600	363	NA	NA	NA	NA
GO:0009648	photoperiodism	1460	1298	NA	NA	NA	NA
GO:0009649	entrainment of circadian clock	2178	671	652	750.5	-79.5	79.5
GO:0009650	UV protection	2349	497.5	NA	NA	NA	NA
GO:0009651	response to salt stress	16478	9	14646	6	3	3
GO:0009652	thigmotropism	2308	544	NA	NA	NA	NA
GO:0009653	anatomical structure morphogenesis	619	2007.5	NA	NA	NA	NA
GO:0009657	plastid organization	1612	1160	NA	NA	NA	NA
GO:0009658	chloroplast organization	4217	110	4467	73	37	37
GO:0009660	amyloplast organization	235	2283	NA	NA	NA	NA
GO:0009663	plasmodesma organization	1943	869	701	726	143	143
GO:0009664	plant-type cell wall organization	1550	1218	2402	175	1043	1043
GO:0009682	induced systemic resistance	3289	190	4460	75	115	115
GO:0009684	indoleacetic acid biosynthetic process	776	1882.5	330	951.5	931	931
GO:0009685	gibberellin metabolic process	638	1998.5	623	774.5	1224	1224
GO:0009686	gibberellin biosynthetic process	2040	790.5	621	778.5	12	12
GO:0009687	abscisic acid metabolic process	20	2390	263	978.5	1411.5	1411.5
GO:0009688	abscisic acid biosynthetic process	1200	1527	NA	NA	NA	NA
GO:0009690	cytokinin metabolic process	627	2004	558	817	1187	1187
GO:0009691	cytokinin biosynthetic process	1124	1603	386	923	680	680
GO:0009693	ethylene biosynthetic process	945	1744	248	986.5	757.5	757.5
GO:0009695	jasmonic acid biosynthetic process	1449	1313.5	3009	125	1188.5	1188.5
GO:0009697	salicylic acid biosynthetic process	2106	740.5	NA	NA	NA	NA
GO:0009698	phenylpropanoid metabolic process	1349	1398.5	549	822	576.5	576.5
GO:0009699	phenylpropanoid biosynthetic process	1318	1420.5	608	787.5	633	633
GO:0009704	de-etiolation	603	2020	NA	NA	NA	NA
GO:0009715	chalcone biosynthetic process	660	1973	NA	NA	NA	NA
GO:0009718	anthocyanin-containing compound biosynthetic process	1575	1196	NA	NA	NA	NA
GO:0009722	detection of cytokinin stimulus	433	2146	203	1005.5	1140.5	1140.5
GO:0009723	response to ethylene	9031	29	5044	46	-17	17
GO:0009725	response to hormone	2091	751	1902	245	506	506
GO:0009729	detection of brassinosteroid stimulus	585	2033	NA	NA	NA	NA
GO:0009733	response to auxin	9453	26	5471	37	-11	11
GO:0009734	auxin-activated signaling pathway	1435	1324.5	523	837.5	487	487
GO:0009735	response to cytokinin	3759	144	2123	207.5	-63.5	63.5
GO:0009736	cytokinin-activated signaling pathway	742	1908	2255	191	1717	1717
GO:0009737	response to abscisic acid	23515	6	15827	5	1	1
GO:0009738	abscisic acid-activated signaling pathway	2745	313.5	1752	269	44.5	44.5
GO:0009739	response to gibberellin	4859	88	1202	429.5	-341.5	341.5
GO:0009740	gibberellic acid mediated signaling pathway	2202	647.5	1042	499	148.5	148.5
GO:0009741	response to brassinosteroid	5072	82	2639	159	-77	77
GO:0009742	brassinosteroid mediated signaling pathway	2960	245	511	850.5	-605.5	605.5
GO:0009743	response to carbohydrate	2171	678.5	932	568	110.5	110.5
GO:0009744	response to sucrose	4027	119	3040	124	-5	5
GO:0009747	hexokinase-dependent signaling	1126	1600.5	NA	NA	NA	NA
GO:0009749	response to glucose	3520	173	5495	36	137	137
GO:0009750	response to fructose	2732	318	863	617	-299	299
GO:0009751	response to salicylic acid	6911	47	6874	27	20	20
GO:0009753	response to jasmonic acid	7811	35	10320	15	20	20
GO:0009755	hormone-mediated signaling pathway	3196	203	708	723	-520	520
GO:0009759	indole glucosinolate biosynthetic process	3567	166	4458	76	90	90
GO:0009765	photosynthesis, light harvesting	1310	1426	626	768	658	658
GO:0009767	photosynthetic electron transport chain	1615	1158.5	572	807.5	351	351
GO:0009768	photosynthesis, light harvesting in photosystem I	1452	1310.5	775	675	635.5	635.5
GO:0009769	photosynthesis, light harvesting in photosystem II	1312	1425	570	811	614	614
GO:0009772	photosynthetic electron transport in photosystem II	1317	1422.5	1099	467	955.5	955.5
GO:0009773	photosynthetic electron transport in photosystem I	1372	1379	NA	NA	NA	NA
GO:0009785	blue light signaling pathway	380	2189	1010	527	1662	1662
GO:0009786	regulation of asymmetric cell division	1869	937	NA	NA	NA	NA
GO:0009787	regulation of abscisic acid-activated signaling pathway	2772	304	1772	267	37	37
GO:0009788	negative regulation of abscisic acid-activated signaling pathway	4337	104	3175	112	-8	8
GO:0009789	positive regulation of abscisic acid-activated signaling pathway	4060	117	2143	204	-87	87
GO:0009790	embryo development	507	2097	NA	NA	NA	NA
GO:0009791	post-embryonic development	4251	108	2078	215	-107	107
GO:0009793	embryo development ending in seed dormancy	11825	17	9984	16	1	1
GO:0009800	cinnamic acid biosynthetic process	355	2213	NA	NA	NA	NA
GO:0009804	coumarin metabolic process	378	2192.5	5073	45	2147.5	2147.5
GO:0009805	coumarin biosynthetic process	427	2153	446	887	1266	1266
GO:0009808	lignin metabolic process	1484	1279	2937	129	1150	1150
GO:0009809	lignin biosynthetic process	9288	28	644	757	-729	729
GO:0009812	flavonoid metabolic process	580	2037.5	NA	NA	NA	NA
GO:0009813	flavonoid biosynthetic process	2883	267	NA	NA	NA	NA
GO:0009819	drought recovery	498	2100	NA	NA	NA	NA
GO:0009823	cytokinin catabolic process	580	2037.5	NA	NA	NA	NA
GO:0009825	multidimensional cell growth	1565	1201	878	607	594	594
GO:0009826	unidimensional cell growth	7186	41	6829	28	13	13
GO:0009827	plant-type cell wall modification	1588	1182	NA	NA	NA	NA
GO:0009828	plant-type cell wall loosening	1413	1345.5	1204	426	919.5	919.5
GO:0009831	plant-type cell wall modification involved in multidimensional cell growth	1417	1341.5	696	730	611.5	611.5
GO:0009832	plant-type cell wall biogenesis	2813	286	2410	174	112	112
GO:0009833	plant-type primary cell wall biogenesis	2140	706	NA	NA	NA	NA
GO:0009834	plant-type secondary cell wall biogenesis	4168	112	1510	329	-217	217
GO:0009835	fruit ripening	604	2017.5	NA	NA	NA	NA
GO:0009838	abscission	24	2388	15	1067	1321	1321
GO:0009845	seed germination	3211	201	3593	93	108	108
GO:0009846	pollen germination	2703	328	1192	435.5	-107.5	107.5
GO:0009850	auxin metabolic process	178	2311	1003	531	1780	1780
GO:0009851	auxin biosynthetic process	127	2332.5	1356	369	1963.5	1963.5
GO:0009852	auxin catabolic process	254	2272	1732	274	1998	1998
GO:0009853	photorespiration	1308	1427	624	772	655	655
GO:0009854	oxidative photosynthetic carbon pathway	1668	1108.5	589	796.5	312	312
GO:0009855	determination of bilateral symmetry	1095	1633	NA	NA	NA	NA
GO:0009856	pollination	1464	1297	NA	NA	NA	NA
GO:0009860	pollen tube growth	3083	223	5095	44	179	179
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	6342	54	NA	NA	NA	NA
GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	6764	49	5125	43	6	6
GO:0009863	salicylic acid mediated signaling pathway	3928	129	1134	455	-326	326
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway	4017	120	4461	74	46	46
GO:0009865	pollen tube adhesion	1389	1363.5	NA	NA	NA	NA
GO:0009866	induced systemic resistance, ethylene mediated signaling pathway	779	1879	NA	NA	NA	NA
GO:0009867	jasmonic acid mediated signaling pathway	4958	86	1387	356	-270	270
GO:0009871	jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway	820	1849.5	NA	NA	NA	NA
GO:0009873	ethylene-activated signaling pathway	1980	842	605	790.5	51.5	51.5
GO:0009875	pollen-pistil interaction	2094	749	1430	341.5	407.5	407.5
